username, time_to_deliver

SERVER,NaN

antonio 3,2459

antonio 3,2459

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2460

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2461

antonio 3,2461
antonio 3,2461
antonio 3,2462
antonio 3,2462

antonio 3,2462

antonio 3,2462

antonio 3,2462
antonio 3,2463
antonio 3,2463
antonio 3,2463

antonio 3,2463

antonio 3,2463

antonio 3,2463

antonio 3,2463

antonio 3,2463

antonio 3,2464

antonio 3,2464

antonio 3,2464

antonio 3,2464

antonio 3,2464

antonio 3,2464

antonio 3,2464

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2464

antonio 3,2464

antonio 3,2464

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2465

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2466

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2467

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2468

antonio 3,2468
antonio 3,2468
antonio 3,2469
antonio 3,2469
antonio 3,2469
antonio 3,2469
antonio 3,2469
antonio 3,2469
antonio 3,2469
antonio 3,2469
antonio 3,2470
antonio 3,2470
antonio 3,2470
antonio 3,2470
antonio 3,2470
antonio 3,2470
antonio 3,2470
antonio 3,2471
antonio 3,2471
antonio 3,2471
antonio 3,2471
antonio 3,2471
antonio 3,2471
antonio 3,2471
antonio 3,2472
antonio 3,2472
antonio 3,2472
antonio 3,2472
antonio 3,2472

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2473

antonio 3,2474

antonio 3,2474

antonio 3,2474

antonio 3,2474

antonio 3,2474

antonio 3,2474

antonio 3,2474

antonio 3,2475

antonio 3,2475

antonio 3,2475

antonio 3,2475

antonio 3,2475

antonio 3,2475

antonio 3,2475

antonio 3,2476

antonio 3,2476

antonio 3,2476

antonio 3,2476

antonio 3,2476

antonio 3,2476

antonio 3,2476

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2478

antonio 3,2478

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2478

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2477

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2478

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2479

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2480

antonio 3,2481

antonio 3,2481

antonio 3,2481

antonio 3,2481

antonio 3,2481

antonio 3,2481

antonio 3,2481

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2481

antonio 3,2481

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2482

antonio 3,2483

antonio 3,2483

antonio 3,2483

antonio 3,2483

antonio 3,2483

antonio 3,2483
antonio 3,2483
antonio 3,2484
antonio 3,2484
